,price,Address,area,Bedrooms,Bathrooms,Status,Furnished_status,Price_sqft
124,20000000.0,other,1650.0,3.0,3.0,Ready to Move,Unfurnished,12121.212121212122
125,3200000.0,other,800.0,2.0,2.0,Ready to Move,Unfurnished,4000.0
126,8500000.0,other,1100.0,2.0,2.0,Ready to Move,Furnished,7727.272727272727
127,4320000.0,"Sector 67, Gurgaon, Delhi NCR",800.0,2.0,2.0,Ready to Move,Unfurnished,5400.0
128,6709999.999999999,other,1180.0,2.0,2.0,Ready to Move,Unfurnished,5686.440677966101
129,16900000.0,other,1935.0,3.0,4.0,Ready to Move,Semi-Furnished,8733.850129198967
130,12500000.0,other,1800.0,3.0,3.0,Ready to Move,Unfurnished,6944.444444444444
131,5000000.0,other,1200.0,3.0,2.0,Ready to Move,Unfurnished,4166.666666666667
132,12000000.0,other,1250.0,2.0,2.0,Ready to Move,Unfurnished,9600.0
133,2700000.0,other,770.0,2.0,2.0,Ready to Move,Semi-Furnished,3506.493506493506
134,11000000.0,other,1200.0,3.0,2.0,Ready to Move,Furnished,9166.666666666666
135,14000000.0,other,2500.0,5.0,5.0,Ready to Move,Furnished,5600.0
136,7500000.0,"Sector 37D, Gurgaon, Delhi NCR",1675.0,3.0,3.0,Ready to Move,Unfurnished,4477.611940298508
137,12000000.0,other,2520.0,4.0,3.0,Ready to Move,Unfurnished,4761.9047619047615
138,4100000.0,other,1000.0,2.0,2.0,Ready to Move,Unfurnished,4100.0
139,3790000.0,other,1310.0,2.0,3.0,Ready to Move,Unfurnished,2893.1297709923665
140,5200000.0,other,1065.0,2.0,2.0,Ready to Move,Semi-Furnished,4882.629107981221
141,12500000.0,"Sector 70A, Gurgaon, Delhi NCR",1830.0,3.0,3.0,Ready to Move,Unfurnished,6830.601092896175
142,15200000.0,other,2268.0,3.0,3.0,Ready to Move,Semi-Furnished,6701.940035273368
143,10500000.0,other,1821.0,3.0,3.0,Ready to Move,Unfurnished,5766.062602965404
144,4000000.0,"Yamuna Expressway, Greater Noida, Delhi NCR",1115.0,2.0,2.0,Ready to Move,Unfurnished,3587.4439461883408
145,3329999.9999999995,"Sector 137, Noida, Delhi NCR",825.0,2.0,2.0,Ready to Move,Unfurnished,4036.363636363636
146,17000000.0,other,3500.0,4.0,3.0,Ready to Move,Semi-Furnished,4857.142857142857
147,3600000.0,other,750.0,2.0,2.0,Ready to Move,Semi-Furnished,4800.0
148,4500000.0,other,1250.0,3.0,2.0,Ready to Move,Unfurnished,3600.0
149,5500000.0,other,1375.0,3.0,3.0,Ready to Move,Unfurnished,4000.0
150,24500000.0,other,2797.0,4.0,4.0,Ready to Move,Unfurnished,8759.385055416518
151,45000000.0,other,9000.0,10.0,10.0,Ready to Move,Unfurnished,5000.0
152,5000000.0,"NH 24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1470.0,3.0,2.0,Ready to Move,Unfurnished,3401.360544217687
153,12500000.0,other,3150.0,3.0,3.0,Ready to Move,Semi-Furnished,3968.253968253968
154,7400000.0,"Vasundhara, Ghaziabad, Delhi NCR",1530.0,3.0,2.0,Ready to Move,Unfurnished,4836.601307189542
155,4100000.0,other,1200.0,3.0,2.0,Ready to Move,Furnished,3416.6666666666665
156,16000000.0,other,1750.0,3.0,2.0,Ready to Move,Unfurnished,9142.857142857143
157,3250000.0,other,1050.0,2.0,2.0,Ready to Move,Unfurnished,3095.2380952380954
